COLLECTION_TIME,MESSAGE_ID,MESSAGE_TYPE,SYMBOL,BID_PRICE_1,BID_SIZE_1,BID_PRICE_2,BID_SIZE_2,BID_PRICE_3,BID_SIZE_3,ASK_PRICE_1,ASK_SIZE_1,ASK_PRICE_2,ASK_SIZE_2,ASK_PRICE_3,ASK_SIZE_3
2022-08-01 13:30:00.172841984,326282,BID_UPDATE,SPY,409.030000,100,408.990000,100,327.310000,100,409.170000,7,409.720000,50,409.920000,100
2022-08-01 13:30:00.173193984,326337,BID_UPDATE,SPY,409.030000,100,409.000000,100,408.990000,100,409.170000,7,409.720000,50,409.920000,100
2022-08-01 13:30:00.175386112,326589,ASK_UPDATE,SPY,409.030000,100,409.000000,100,408.990000,100,409.150000,500,409.170000,7,409.720000,50
2022-08-01 13:30:00.175386112,326613,ASK_UPDATE,SPY,409.030000,100,409.000000,100,408.990000,100,409.170000,7,409.720000,50,409.920000,100
2022-08-01 13:30:00.176423936,326726,ASK_UPDATE,SPY,409.030000,100,409.000000,100,408.990000,100,409.170000,7,409.720000,50,409.920000,100
2022-08-01 13:30:00.176423936,326738,BID_UPDATE,SPY,409.030000,100,409.000000,100,408.990000,100,409.170000,7,409.720000,50,409.920000,100
2022-08-01 13:30:00.176423936,326747,ASK_UPDATE,SPY,409.030000,100,409.000000,100,408.990000,100,409.170000,7,409.720000,50,409.920000,100
2022-08-01 13:30:00.182028032,327436,BID_UPDATE,SPY,409.030000,100,408.990000,100,408.960000,100,409.170000,7,409.720000,50,409.920000,100
2022-08-01 13:30:00.241268992,335968,BID_UPDATE,SPY,409.040000,100,409.030000,100,408.990000,100,409.170000,7,409.720000,50,409.920000,100
2022-08-01 13:30:00.260704000,338812,ASK_UPDATE,SPY,409.040000,100,409.030000,100,408.990000,100,409.170000,507,409.720000,50,409.920000,100
2022-08-01 13:30:00.260984064,338835,BID_UPDATE,SPY,409.030000,100,408.990000,100,408.960000,100,409.170000,507,409.720000,50,409.920000,100
2022-08-01 13:30:00.261694976,338912,ASK_UPDATE,SPY,409.030000,100,408.990000,100,408.960000,100,409.170000,7,409.720000,50,409.920000,100
2022-08-01 13:30:00.262073088,338950,BID_UPDATE,SPY,409.040000,100,409.030000,100,408.990000,100,409.170000,7,409.720000,50,409.920000,100
2022-08-01 13:30:00.290183936,341729,BID_UPDATE,SPY,409.150000,500,409.040000,100,409.030000,100,409.170000,7,409.720000,50,409.920000,100
2022-08-01 13:30:00.306284032,342439,BID_UPDATE,SPY,409.150000,700,409.040000,100,409.030000,100,409.170000,7,409.720000,50,409.920000,100
2022-08-01 13:30:00.307870976,342449,BID_UPDATE,SPY,409.150000,500,409.040000,100,409.030000,100,409.170000,7,409.720000,50,409.920000,100
2022-08-01 13:30:00.315075072,342589,ASK_UPDATE,SPY,409.150000,500,409.040000,100,409.030000,100,409.170000,3,409.720000,50,409.920000,100
2022-08-01 13:30:00.318132992,342605,ASK_UPDATE,SPY,409.150000,500,409.040000,100,409.030000,100,409.720000,50,409.920000,100,409.950000,100
2022-08-01 13:30:00.325039104,342678,BID_UPDATE,SPY,409.040000,100,409.030000,100,408.990000,100,409.720000,50,409.920000,100,409.950000,100
2022-08-01 13:30:00.329690880,342727,ASK_UPDATE,SPY,409.040000,100,409.030000,100,408.990000,100,409.240000,500,409.720000,50,409.920000,100
2022-08-01 13:30:00.332705024,342766,ASK_UPDATE,SPY,409.040000,100,409.030000,100,408.990000,100,409.720000,50,409.920000,100,409.950000,100
2022-08-01 13:30:00.332990976,342780,BID_UPDATE,SPY,409.150000,500,409.040000,100,409.030000,100,409.720000,50,409.920000,100,409.950000,100
2022-08-01 13:30:00.353743872,343100,ASK_UPDATE,SPY,409.150000,500,409.040000,100,409.030000,100,409.250000,500,409.720000,50,409.920000,100
2022-08-01 13:30:00.354373120,343118,ASK_UPDATE,SPY,409.150000,500,409.040000,100,409.030000,100,409.720000,50,409.920000,100,409.950000,100
2022-08-01 13:30:00.362277120,343289,BID_UPDATE,SPY,409.150000,500,409.030000,100,408.990000,100,409.720000,50,409.920000,100,409.950000,100
2022-08-01 13:30:00.378533888,343618,ASK_UPDATE,SPY,409.150000,500,409.030000,100,408.990000,100,409.270000,500,409.720000,50,409.920000,100
2022-08-01 13:30:00.401200128,344042,ASK_UPDATE,SPY,409.150000,500,409.030000,100,408.990000,100,409.260000,500,409.270000,500,409.720000,50
2022-08-01 13:30:00.401680896,344061,ASK_UPDATE,SPY,409.150000,500,409.030000,100,408.990000,100,409.260000,500,409.720000,50,409.920000,100
2022-08-01 13:30:00.432589056,344996,ASK_UPDATE,SPY,409.150000,500,409.030000,100,408.990000,100,409.250000,500,409.260000,500,409.720000,50
2022-08-01 13:30:00.433005056,345011,ASK_UPDATE,SPY,409.150000,500,409.030000,100,408.990000,100,409.250000,500,409.720000,50,409.920000,100
2022-08-01 13:30:00.454914048,345767,ASK_UPDATE,SPY,409.150000,500,409.030000,100,408.990000,100,409.240000,500,409.250000,500,409.720000,50
2022-08-01 13:30:00.455340032,345777,ASK_UPDATE,SPY,409.150000,500,409.030000,100,408.990000,100,409.240000,500,409.720000,50,409.920000,100
2022-08-01 13:30:00.464051968,346083,ASK_UPDATE,SPY,409.150000,500,409.030000,100,408.990000,100,409.720000,50,409.920000,100,409.950000,100
2022-08-01 13:30:00.475629056,346572,BID_UPDATE,SPY,409.030000,100,408.990000,100,408.960000,100,409.720000,50,409.920000,100,409.950000,100
2022-08-01 13:30:00.476680960,346607,BID_UPDATE,SPY,409.040000,100,409.030000,100,408.990000,100,409.720000,50,409.920000,100,409.950000,100
