date,MID_PRICE,high,low,close,volume,openinterest,BID_PRICE_1,BID_SIZE_1,BID_PRICE_2,BID_SIZE_2,BID_PRICE_3,BID_SIZE_3,ASK_PRICE_1,ASK_SIZE_1,ASK_PRICE_2,ASK_SIZE_2,ASK_PRICE_3,ASK_SIZE_3,year,month,day,hour,minute,second,microsecond
1700-01-15,409.15999999999997,0,0,0,0,0,409.15,700,409.04,100,409.03,100,409.17,7,409.72,50,409.92,100,2022,8,1,13,30,0,306284
1700-01-16,409.15999999999997,0,0,0,0,0,409.15,500,409.04,100,409.03,100,409.17,7,409.72,50,409.92,100,2022,8,1,13,30,0,307870
1700-01-17,409.15999999999997,0,0,0,0,0,409.15,500,409.04,100,409.03,100,409.17,3,409.72,50,409.92,100,2022,8,1,13,30,0,315075
1700-01-18,409.15999999999997,0,0,0,0,0,409.15,500,409.04,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,0,318132
1700-01-19,409.435,0,0,0,0,0,409.04,100,409.03,100,408.99,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,0,325039
1700-01-20,409.38,0,0,0,0,0,409.04,100,409.03,100,408.99,100,409.24,500,409.72,50,409.92,100,2022,8,1,13,30,0,329690
1700-01-21,409.14,0,0,0,0,0,409.04,100,409.03,100,408.99,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,0,332705
1700-01-22,409.38,0,0,0,0,0,409.15,500,409.04,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,0,332990
1700-01-23,409.435,0,0,0,0,0,409.15,500,409.04,100,409.03,100,409.25,500,409.72,50,409.92,100,2022,8,1,13,30,0,353743
1700-01-24,409.2,0,0,0,0,0,409.15,500,409.04,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,0,354373
1700-01-25,409.435,0,0,0,0,0,409.15,500,409.03,100,408.99,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,0,362277
1700-01-26,409.435,0,0,0,0,0,409.15,500,409.03,100,408.99,100,409.27,500,409.72,50,409.92,100,2022,8,1,13,30,0,378533
1700-01-27,409.21,0,0,0,0,0,409.15,500,409.03,100,408.99,100,409.26,500,409.27,500,409.72,50,2022,8,1,13,30,0,401200
1700-01-28,409.205,0,0,0,0,0,409.15,500,409.03,100,408.99,100,409.26,500,409.72,50,409.92,100,2022,8,1,13,30,0,401680
1700-01-29,409.205,0,0,0,0,0,409.15,500,409.03,100,408.99,100,409.25,500,409.26,500,409.72,50,2022,8,1,13,30,0,432589
1700-01-30,409.2,0,0,0,0,0,409.15,500,409.03,100,408.99,100,409.25,500,409.72,50,409.92,100,2022,8,1,13,30,0,433005
1700-01-31,409.2,0,0,0,0,0,409.15,500,409.03,100,408.99,100,409.24,500,409.25,500,409.72,50,2022,8,1,13,30,0,454914
1700-02-01,409.195,0,0,0,0,0,409.15,500,409.03,100,408.99,100,409.24,500,409.72,50,409.92,100,2022,8,1,13,30,0,455340
1700-02-02,409.195,0,0,0,0,0,409.15,500,409.03,100,408.99,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,0,464051
1700-02-03,409.435,0,0,0,0,0,409.03,100,408.99,100,408.96,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,0,475629
1700-02-04,409.375,0,0,0,0,0,409.04,100,409.03,100,408.99,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,0,476680
1700-02-05,409.38,0,0,0,0,0,409.15,500,409.04,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,0,478818
1700-02-06,409.435,0,0,0,0,0,409.15,700,409.04,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,0,482514
1700-02-07,409.435,0,0,0,0,0,409.15,500,409.04,100,409.03,100,409.72,50,409.92,100,409.95,100,2022,8,1,13,30,0,482804
1700-02-08,409.435,0,0,0,0,0,409.15,500,409.04,100,409.03,100,409.24,500,409.72,50,409.92,100,2022,8,1,13,30,0,484396
1700-02-09,409.195,0,0,0,0,0,409.15,500,409.04,100,409.03,100,409.23,500,409.24,500,409.72,50,2022,8,1,13,30,0,518510
1700-02-10,409.19,0,0,0,0,0,409.15,500,409.04,100,409.03,100,409.23,500,409.72,50,409.92,100,2022,8,1,13,30,0,518919
1700-02-11,409.19,0,0,0,0,0,409.15,500,409.04,100,409.03,100,409.22,500,409.23,500,409.72,50,2022,8,1,13,30,0,543053
1700-02-12,409.185,0,0,0,0,0,409.15,500,409.04,100,409.03,100,409.22,500,409.72,50,409.92,100,2022,8,1,13,30,0,543454
